Wall:R-Value:Input,Window:U-Value:Input,SHGC:NA:Input,Roof:NA:Input,Res HRV:(%):Input,SHW:Type:Input,SHW Reduce:NA:Input,Appliances:NA:Input,MUA:NA:Input,TEUI:(kWh/m2):Output:120,GHGI:(kgCO2/m2):Output:100,TEDI:(kWh/m2):Output:200,LEED:Pts:Output:100,Energy Cost:($):Output:100,NPV:NA:Output:100
R-ip 8,U-ip 0.38,0.25,30,90,ASHP,0,N,Gas,103.8,2,38.2,8,312034,2009350
R-ip 8,U-ip 0.38,0.25,20,90,ASHP,0,N,Gas,104.6,2.1,39,8,314059,2038184
R-ip 15,U-ip 0.15,0.4,30,90,ASHP,0,N,Gas,92.3,1.9,23.8,0,279670,1548700
R-ip 15,U-ip 0.15,0.4,20,90,ASHP,0,N,Gas,92.7,1.9,24.3,0,280729,1563783
R-ip 15,U-ip 0.15,0.25,30,90,ASHP,0,N,Gas,93,1.9,25,0,281575,1575817
R-ip 15,U-ip 0.15,0.25,20,90,ASHP,0,N,Gas,93.4,1.9,25.6,0,282842,1593852
R-ip 15,U-ip 0.25,0.4,30,90,ASHP,0,N,Gas,94.1,1.9,26.5,0,284826,1622099
R-ip 15,U-ip 0.25,0.4,20,90,ASHP,0,N,Gas,94.6,1.9,27.1,0,286235,1642145
R-ip 15,U-ip 0.25,0.25,30,90,ASHP,0,N,Gas,95.2,2,28.2,0,287850,1665137
R-ip 15,U-ip 0.25,0.25,20,90,ASHP,0,N,Gas,95.8,2,28.9,0,289513,1688802
R-ip 15,U-ip 0.38,0.4,30,90,ASHP,0,N,Gas,97.5,2,30.9,0,294243,1756123
R-ip 15,U-ip 0.38,0.4,20,90,ASHP,0,N,Gas,98.1,2,31.6,0,296012,1781314
R-ip 15,U-ip 0.38,0.25,30,90,ASHP,0,N,Gas,99.1,2,32.9,0,298653,1818897
R-ip 15,U-ip 0.38,0.25,20,90,ASHP,0,N,Gas,99.8,2,33.7,0,300579,1846306
R-ip 8,U-ip 0.15,0.4,30,90,Renew Gas,0,N,Renew Gas,109.7,0.9,27.6,11,258491,515931
R-ip 8,U-ip 0.15,0.4,20,90,Renew Gas,0,N,Renew Gas,110.2,0.9,28.3,11,260053,538156
R-ip 8,U-ip 0.15,0.25,30,90,Renew Gas,0,N,Renew Gas,110.8,0.9,29.3,11,261745,562248
R-ip 8,U-ip 0.15,0.25,20,90,Renew Gas,0,N,Renew Gas,111.4,0.9,30,11,263493,587125
R-ip 8,U-ip 0.25,0.4,30,90,Renew Gas,0,N,Renew Gas,112.3,0.9,31,11,265853,620714
R-ip 8,U-ip 0.25,0.4,20,90,Renew Gas,0,N,Renew Gas,112.9,0.9,31.7,11,267618,645842
R-ip 8,U-ip 0.25,0.25,30,90,Renew Gas,0,N,Renew Gas,113.9,0.9,33,10,270251,683312
R-ip 8,U-ip 0.25,0.25,20,90,Renew Gas,0,N,Renew Gas,114.5,0.9,33.8,10,272141,710216
R-ip 8,U-ip 0.38,0.4,30,90,Renew Gas,0,N,Renew Gas,116.3,1,35.9,10,277121,781098
R-ip 8,U-ip 0.38,0.4,20,90,Renew Gas,0,N,Renew Gas,117,1,36.6,9,279006,807927
R-ip 8,U-ip 0.38,0.25,30,90,Renew Gas,0,N,Renew Gas,118.2,1,38.2,9,282565,858582
R-ip 8,U-ip 0.38,0.25,20,90,Renew Gas,0,N,Renew Gas,119,1,39,8,284591,887416
R-ip 15,U-ip 0.15,0.4,30,90,Renew Gas,0,N,Renew Gas,106.7,0.9,23.8,0,250201,397932
R-ip 15,U-ip 0.15,0.4,20,90,Renew Gas,0,N,Renew Gas,107.1,0.9,24.3,0,251261,413015
R-ip 15,U-ip 0.15,0.25,30,90,Renew Gas,0,N,Renew Gas,107.4,0.9,25,0,252106,425049
R-ip 15,U-ip 0.15,0.25,20,90,Renew Gas,0,N,Renew Gas,107.8,0.9,25.6,0,253373,443084
R-ip 15,U-ip 0.25,0.4,30,90,Renew Gas,0,N,Renew Gas,108.5,0.9,26.5,0,255358,471331
R-ip 15,U-ip 0.25,0.4,20,90,Renew Gas,0,N,Renew Gas,109,0.9,27.1,0,256766,491377
R-ip 15,U-ip 0.25,0.25,30,90,Renew Gas,0,N,Renew Gas,109.6,0.9,28.2,0,258382,514369
R-ip 15,U-ip 0.25,0.25,20,90,Renew Gas,0,N,Renew Gas,110.2,0.9,28.9,0,260044,538034
R-ip 15,U-ip 0.38,0.4,30,90,Renew Gas,0,N,Renew Gas,111.9,0.9,30.9,0,264774,605355
R-ip 15,U-ip 0.38,0.4,20,90,Renew Gas,0,N,Renew Gas,112.5,0.9,31.6,0,266544,630546
R-ip 15,U-ip 0.38,0.25,30,90,Renew Gas,0,N,Renew Gas,113.5,0.9,32.9,0,269184,668129
R-ip 15,U-ip 0.38,0.25,20,90,Renew Gas,0,N,Renew Gas,114.2,0.9,33.7,0,271110,695538
R-ip 8,U-ip 0.15,0.4,30,90,ASHP,0,N,Renew Gas,95.3,1.1,27.6,11,290242,1699182
R-ip 8,U-ip 0.15,0.4,20,90,ASHP,0,N,Renew Gas,95.8,1.1,28.3,10,291804,1721408
R-ip 8,U-ip 0.15,0.25,30,90,ASHP,0,N,Renew Gas,96.4,1.1,29.3,10,293496,1745500
R-ip 8,U-ip 0.15,0.25,20,90,ASHP,0,N,Renew Gas,97,1.1,30,10,295244,1770376
R-ip 8,U-ip 0.25,0.4,30,90,ASHP,0,N,Renew Gas,97.9,1.1,31,10,297604,1803965
R-ip 8,U-ip 0.25,0.4,20,90,ASHP,0,N,Renew Gas,98.5,1.2,31.7,10,299369,1829093
R-ip 8,U-ip 0.25,0.25,30,90,ASHP,0,N,Renew Gas,99.4,1.2,33,10,302002,1866563
R-ip 8,U-ip 0.25,0.25,20,90,ASHP,0,N,Renew Gas,100.1,1.2,33.8,10,303892,1893467
R-ip 8,U-ip 0.38,0.4,30,90,ASHP,0,N,Renew Gas,101.9,1.2,35.9,9,308872,1964349
R-ip 8,U-ip 0.38,0.4,20,90,ASHP,0,N,Renew Gas,102.6,1.2,36.6,8,310757,1991178
R-ip 8,U-ip 0.38,0.25,30,90,ASHP,0,N,Renew Gas,103.8,1.2,38.2,8,314316,2041833
R-ip 8,U-ip 0.38,0.25,20,90,ASHP,0,N,Renew Gas,104.6,1.2,39,8,316341,2070667
R-ip 15,U-ip 0.15,0.4,30,90,ASHP,0,N,Renew Gas,92.3,1.1,23.8,0,281952,1581183
R-ip 15,U-ip 0.15,0.4,20,90,ASHP,0,N,Renew Gas,92.7,1.1,24.3,0,283012,1596266
R-ip 15,U-ip 0.15,0.25,30,90,ASHP,0,N,Renew Gas,93,1.1,25,0,283857,1608300
R-ip 15,U-ip 0.15,0.25,20,90,ASHP,0,N,Renew Gas,93.4,1.1,25.6,0,285124,1626335
R-ip 15,U-ip 0.25,0.4,30,90,ASHP,0,N,Renew Gas,94.1,1.1,26.5,0,287109,1654582
R-ip 15,U-ip 0.25,0.4,20,90,ASHP,0,N,Renew Gas,94.6,1.1,27.1,0,288517,1674628
R-ip 15,U-ip 0.25,0.25,30,90,ASHP,0,N,Renew Gas,95.2,1.1,28.2,0,290132,1697620
R-ip 15,U-ip 0.25,0.25,20,90,ASHP,0,N,Renew Gas,95.8,1.1,28.9,0,291795,1721285
R-ip 15,U-ip 0.38,0.4,30,90,ASHP,0,N,Renew Gas,97.5,1.1,30.9,0,296525,1788606
R-ip 15,U-ip 0.38,0.4,20,90,ASHP,0,N,Renew Gas,98.1,1.2,31.6,0,298295,1813797
R-ip 15,U-ip 0.38,0.25,30,90,ASHP,0,N,Renew Gas,99.1,1.2,32.9,0,300935,1851380
R-ip 15,U-ip 0.38,0.25,20,90,ASHP,0,N,Renew Gas,99.8,1.2,33.7,0,302861,1878789
R-ip 8,U-ip 0.15,0.4,30,60,Gas,0,N,HP,113.1,5.9,34.5,8,283802,1196254
R-ip 8,U-ip 0.15,0.4,20,60,Gas,0,N,HP,113.7,5.9,35.1,8,285363,1218480
R-ip 8,U-ip 0.15,0.25,30,60,Gas,0,N,HP,114.3,5.9,36.1,8,287056,1242572
R-ip 8,U-ip 0.15,0.25,20,60,Gas,0,N,HP,114.9,5.9,36.9,8,288803,1267448
R-ip 8,U-ip 0.25,0.4,30,60,Gas,0,N,HP,115.7,5.9,37.8,7,291163,1301037
R-ip 8,U-ip 0.25,0.4,20,60,Gas,0,N,HP,116.4,5.9,38.5,7,292929,1326165
R-ip 8,U-ip 0.25,0.25,30,60,Gas,0,N,HP,117.3,6,39.8,7,295561,1363635
R-ip 8,U-ip 0.25,0.25,20,60,Gas,0,N,HP,118,6,40.6,7,297451,1390539
R-ip 8,U-ip 0.38,0.4,30,60,Gas,0,N,HP,119.8,6,42.7,6,302431,1461421
R-ip 8,U-ip 0.38,0.4,20,60,Gas,0,N,HP,120.4,6,43.5,6,304316,1488250
R-ip 8,U-ip 0.38,0.25,30,60,Gas,0,N,HP,121.7,6,45.1,6,307875,1538905
R-ip 8,U-ip 0.38,0.25,20,60,Gas,0,N,HP,122.4,6,45.8,6,309901,1567739
R-ip 15,U-ip 0.15,0.4,30,60,Gas,0,N,HP,110.2,5.9,30.6,0,275511,1078255
R-ip 15,U-ip 0.15,0.4,20,60,Gas,0,N,HP,110.5,5.9,31.1,0,276571,1093338
R-ip 15,U-ip 0.15,0.25,30,60,Gas,0,N,HP,110.8,5.9,31.9,0,277416,1105372
R-ip 15,U-ip 0.15,0.25,20,60,Gas,0,N,HP,111.3,5.9,32.4,0,278684,1123408
R-ip 15,U-ip 0.25,0.4,30,60,Gas,0,N,HP,112,5.9,33.4,0,280668,1151654
R-ip 15,U-ip 0.25,0.4,20,60,Gas,0,N,HP,112.5,5.9,34,0,282076,1171700
R-ip 15,U-ip 0.25,0.25,30,60,Gas,0,N,HP,113.1,5.9,35,0,283692,1194692
